"","titulo","medio","url","nombre","categoria","rol_respecto_ia","orientacion_tecnologica","analisis"
"1","Otra favorecida por la IA: Amazon entra al club de las empresas valorizadas en dos billones de dólares","bbcl","https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2024/06/26/otra-favorecida-por-la-ia-amazon-entra-al-club-de-las-empresas-valorizadas-en-dos-billones-de-dolares.shtml","Amazon","Empresa Tecnológica","Beneficiaria principal del auge de la IA, impulsando su valor en bolsa.","tecnofilia","La noticia enmarca el valor de Amazon y otras grandes tecnológicas como un resultado directo y positivo de su involucramiento en la Inteligencia Artificial. La IA no se presenta como una amenaza, sino como el motor principal del crecimiento económico y la revalorización bursátil, impulsando una narrativa decididamente tecnofílica. Se observa un énfasis en los beneficios económicos y el potencial de crecimiento que la IA confiere a estas corporaciones. Los actores mencionados son predominantemente empresas tecnológicas, lo que refuerza la idea de que la IA es un campo dominado y beneficiado por este sector."
"2","Otra favorecida por la IA: Amazon entra al club de las empresas valorizadas en dos billones de dólares","bbcl","https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2024/06/26/otra-favorecida-por-la-ia-amazon-entra-al-club-de-las-empresas-valorizadas-en-dos-billones-de-dolares.shtml","Alphabet (Google)","Empresa Tecnológica","Mencionada como otra empresa impulsada por la IA en bolsa.","tecnofilia","La noticia enmarca el valor de Amazon y otras grandes tecnológicas como un resultado directo y positivo de su involucramiento en la Inteligencia Artificial. La IA no se presenta como una amenaza, sino como el motor principal del crecimiento económico y la revalorización bursátil, impulsando una narrativa decididamente tecnofílica. Se observa un énfasis en los beneficios económicos y el potencial de crecimiento que la IA confiere a estas corporaciones. Los actores mencionados son predominantemente empresas tecnológicas, lo que refuerza la idea de que la IA es un campo dominado y beneficiado por este sector."
"3","Otra favorecida por la IA: Amazon entra al club de las empresas valorizadas en dos billones de dólares","bbcl","https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2024/06/26/otra-favorecida-por-la-ia-amazon-entra-al-club-de-las-empresas-valorizadas-en-dos-billones-de-dolares.shtml","Nvidia","Empresa Tecnológica","Proveedor clave de procesadores para IA, lo que impulsa su valor.","tecnofilia","La noticia enmarca el valor de Amazon y otras grandes tecnológicas como un resultado directo y positivo de su involucramiento en la Inteligencia Artificial. La IA no se presenta como una amenaza, sino como el motor principal del crecimiento económico y la revalorización bursátil, impulsando una narrativa decididamente tecnofílica. Se observa un énfasis en los beneficios económicos y el potencial de crecimiento que la IA confiere a estas corporaciones. Los actores mencionados son predominantemente empresas tecnológicas, lo que refuerza la idea de que la IA es un campo dominado y beneficiado por este sector."
"4","Otra favorecida por la IA: Amazon entra al club de las empresas valorizadas en dos billones de dólares","bbcl","https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2024/06/26/otra-favorecida-por-la-ia-amazon-entra-al-club-de-las-empresas-valorizadas-en-dos-billones-de-dolares.shtml","Microsoft","Empresa Tecnológica","Mencionada por ofrecer soluciones integradas de IA en sus productos.","tecnofilia","La noticia enmarca el valor de Amazon y otras grandes tecnológicas como un resultado directo y positivo de su involucramiento en la Inteligencia Artificial. La IA no se presenta como una amenaza, sino como el motor principal del crecimiento económico y la revalorización bursátil, impulsando una narrativa decididamente tecnofílica. Se observa un énfasis en los beneficios económicos y el potencial de crecimiento que la IA confiere a estas corporaciones. Los actores mencionados son predominantemente empresas tecnológicas, lo que refuerza la idea de que la IA es un campo dominado y beneficiado por este sector."
"5","Otra favorecida por la IA: Amazon entra al club de las empresas valorizadas en dos billones de dólares","bbcl","https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2024/06/26/otra-favorecida-por-la-ia-amazon-entra-al-club-de-las-empresas-valorizadas-en-dos-billones-de-dolares.shtml","Apple","Empresa Tecnológica","Mencionada por ofrecer soluciones integradas de IA en sus productos.","tecnofilia","La noticia enmarca el valor de Amazon y otras grandes tecnológicas como un resultado directo y positivo de su involucramiento en la Inteligencia Artificial. La IA no se presenta como una amenaza, sino como el motor principal del crecimiento económico y la revalorización bursátil, impulsando una narrativa decididamente tecnofílica. Se observa un énfasis en los beneficios económicos y el potencial de crecimiento que la IA confiere a estas corporaciones. Los actores mencionados son predominantemente empresas tecnológicas, lo que refuerza la idea de que la IA es un campo dominado y beneficiado por este sector."
"6","¿Saludos de Chayanne para mamá? Así puedes conseguir el filtro que arrasa en el Día de la Madre","bbcl","https://www.biobiochile.cl/noticias/vida-actual/consejos/2023/05/14/saludos-de-chayanne-para-mama-asi-puedes-conseguir-el-filtro-que-arrasa-en-el-dia-de-la-madre.shtml","Fran Capin","Academia / Expertos","creadora del filtro de IA","neutralidad","La noticia se centra en la aplicación lúdica y emocional de la inteligencia artificial para conmemorar el Día de la Madre, utilizando la figura de Chayanne como gancho popular. La IA se presenta como una herramienta para generar experiencias personalizadas y emotivas, sin abordar sus capacidades más complejas ni sus implicaciones éticas o sociales. La narrativa es eminentemente tecnofílica en su presentación de una herramienta que facilita la expresión de afecto, aunque su centralidad es baja al ser un mero medio para un fin social preexistente. El discurso se enfoca en la accesibilidad y la novedad del filtro, invitando a la ciudadanía a utilizarlo."
"7","¿Saludos de Chayanne para mamá? Así puedes conseguir el filtro que arrasa en el Día de la Madre","bbcl","https://www.biobiochile.cl/noticias/vida-actual/consejos/2023/05/14/saludos-de-chayanne-para-mama-asi-puedes-conseguir-el-filtro-que-arrasa-en-el-dia-de-la-madre.shtml","Snapchat","Empresa Tecnológica","plataforma que aloja y distribuye el filtro de IA","neutralidad","La noticia se centra en la aplicación lúdica y emocional de la inteligencia artificial para conmemorar el Día de la Madre, utilizando la figura de Chayanne como gancho popular. La IA se presenta como una herramienta para generar experiencias personalizadas y emotivas, sin abordar sus capacidades más complejas ni sus implicaciones éticas o sociales. La narrativa es eminentemente tecnofílica en su presentación de una herramienta que facilita la expresión de afecto, aunque su centralidad es baja al ser un mero medio para un fin social preexistente. El discurso se enfoca en la accesibilidad y la novedad del filtro, invitando a la ciudadanía a utilizarlo."
"8","Ángel Valencia admite encuentro en casa de Chadwick, pero asegura que fue actividad académica","bbcl","https://www.biobiochile.cl/noticias/nacional/chile/2022/12/21/angel-valencia-admite-encuentro-en-casa-de-chadwick-pero-asegura-que-fue-actividad-academica.shtml","Ángel Valencia","Academia / Expertos","Profesor de cátedra de Inteligencia Artificial, utiliza la IA como justificación de su presencia en un evento académico.","neutralidad","La noticia utiliza la mención de 'Inteligencia Artificial' como un elemento secundario dentro de una narrativa centrada en la política y la ética de los nombramientos públicos. La IA se presenta como una cátedra impartida por uno de los candidatos al cargo de fiscal nacional, sirviendo de pretexto para justificar su asistencia a un evento social. El discurso oscila entre la neutralidad respecto a la IA y la tecnofobia implícita en las acusaciones, que buscan deslegitimar el encuentro por sus posibles conexiones políticas. Los marcos interpretativos giran en torno a la transparencia, la influencia política y la integridad en el ejercicio de funciones públicas, relegando la IA a un mero detalle contextual."
"9","Ángel Valencia admite encuentro en casa de Chadwick, pero asegura que fue actividad académica","bbcl","https://www.biobiochile.cl/noticias/nacional/chile/2022/12/21/angel-valencia-admite-encuentro-en-casa-de-chadwick-pero-asegura-que-fue-actividad-academica.shtml","Andrés Chadwick","Sector Público","Anfitrión del evento académico donde se mencionó la IA, figura política histórica.","neutralidad","La noticia utiliza la mención de 'Inteligencia Artificial' como un elemento secundario dentro de una narrativa centrada en la política y la ética de los nombramientos públicos. La IA se presenta como una cátedra impartida por uno de los candidatos al cargo de fiscal nacional, sirviendo de pretexto para justificar su asistencia a un evento social. El discurso oscila entre la neutralidad respecto a la IA y la tecnofobia implícita en las acusaciones, que buscan deslegitimar el encuentro por sus posibles conexiones políticas. Los marcos interpretativos giran en torno a la transparencia, la influencia política y la integridad en el ejercicio de funciones públicas, relegando la IA a un mero detalle contextual."
"10","Ángel Valencia admite encuentro en casa de Chadwick, pero asegura que fue actividad académica","bbcl","https://www.biobiochile.cl/noticias/nacional/chile/2022/12/21/angel-valencia-admite-encuentro-en-casa-de-chadwick-pero-asegura-que-fue-actividad-academica.shtml","Marta Herrera","Academia / Expertos","Cuestiona la legitimidad de un encuentro, sin vinculación directa con la IA en este contexto.","neutralidad","La noticia utiliza la mención de 'Inteligencia Artificial' como un elemento secundario dentro de una narrativa centrada en la política y la ética de los nombramientos públicos. La IA se presenta como una cátedra impartida por uno de los candidatos al cargo de fiscal nacional, sirviendo de pretexto para justificar su asistencia a un evento social. El discurso oscila entre la neutralidad respecto a la IA y la tecnofobia implícita en las acusaciones, que buscan deslegitimar el encuentro por sus posibles conexiones políticas. Los marcos interpretativos giran en torno a la transparencia, la influencia política y la integridad en el ejercicio de funciones públicas, relegando la IA a un mero detalle contextual."
